Comunidades y Ciudades Autónomas,Tipo Vivienda,Tipo Indicador,Periodo,Total
01 Andalucía,Vivienda nueva,Variación anual,2019T2,7.6
01 Andalucía,Vivienda nueva,Variación anual,2019T1,7.0
01 Andalucía,Vivienda nueva,Variación anual,2018T4,7.0
01 Andalucía,Vivienda nueva,Variación anual,2018T3,6.6
01 Andalucía,Vivienda nueva,Variación anual,2018T2,4.4
01 Andalucía,Vivienda nueva,Variación anual,2018T1,4.3
01 Andalucía,Vivienda nueva,Variación anual,2017T4,5.7
01 Andalucía,Vivienda nueva,Variación anual,2017T3,4.6
01 Andalucía,Vivienda nueva,Variación anual,2017T2,2.0
01 Andalucía,Vivienda nueva,Variación anual,2017T1,4.1
01 Andalucía,Vivienda nueva,Variación anual,2016T4,4.7
01 Andalucía,Vivienda nueva,Variación anual,2016T3,7.5
01 Andalucía,Vivienda nueva,Variación anual,2016T2,8.6
01 Andalucía,Vivienda nueva,Variación anual,2016T1,7.7
01 Andalucía,Vivienda nueva,Variación anual,2015T4,6.5
01 Andalucía,Vivienda nueva,Variación anual,2015T3,5.0
